web-scraper-order,web-scraper-start-url,selector1
"1657196981-299","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-787","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-689","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-131","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-361","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-803","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-387","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Chelsea"
"1657196981-431","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-784","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","01.03. 15:00"
"1657196981-758","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Birmingham"
"1657196981-227","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","5"
"1657196981-504","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","12.04. 15:00"
"1657196981-124","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-160","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-255","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-644","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.03. 15:00"
"1657196981-556","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
