,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
2007-03-24,38,229,30,35,33,26,19,13,21,7,1,2,0,0,2,1,1,2,1
2007-03-30,38,229,30,35,33,26,19,13,21,7,2,2,0,0,2,1,1,2,1
2007-04-04,38,230,30,35,33,26,19,13,21,7,2,2,0,0,2,1,1,2,1
2007-04-08,38,231,30,35,33,26,19,13,21,7,2,2,0,0,2,1,1,2,1
2007-04-11,38,231,30,35,33,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-04-17,38,232,30,35,33,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-04-21,38,232,30,35,34,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-07-01,38,232,30,35,35,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-07-04,38,233,30,35,35,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-07-07,38,234,30,35,35,26,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-08-21,38,234,30,35,35,27,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-08-24,38,235,30,35,35,27,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-08-27,38,235,30,35,35,28,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-08-30,38,235,30,35,35,29,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-09-02,38,236,30,35,35,29,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-09-05,38,237,30,35,35,29,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-09-08,38,237,30,35,35,30,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-10-01,38,238,30,35,35,30,19,13,21,8,2,2,0,0,2,1,1,2,1
2007-10-04,38,238,30,35,35,30,20,13,21,8,2,2,0,0,2,1,1,2,1
2007-10-07,38,238,30,35,35,30,21,13,21,8,2,2,0,0,2,1,1,2,1
2007-10-10,38,238,30,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2007-10-13,38,239,30,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-02-09,38,240,30,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-02-12,38,241,30,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-02-15,38,241,31,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-02-20,38,241,32,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-02-23,38,242,32,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-06-15,38,242,33,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-06-18,38,243,33,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-06-21,38,244,33,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
2008-06-25,38,245,33,35,35,30,22,13,21,8,2,2,0,0,2,1,1,2,1
